angle_deg,parameter_i,parameter_j,local_correlation
10.0,thickness_um,thickness_um,1.0
10.0,thickness_um,substrate_index,-0.11327543374460092
10.0,thickness_um,log10_carrier_cm3,0.7696004455094934
10.0,thickness_um,log10_collision_s-1,0.14700559412177247
10.0,substrate_index,thickness_um,-0.11327543374460007
10.0,substrate_index,substrate_index,1.0
10.0,substrate_index,log10_carrier_cm3,-0.3333722238391757
10.0,substrate_index,log10_collision_s-1,0.6927269462299229
10.0,log10_carrier_cm3,thickness_um,0.7696004455094931
10.0,log10_carrier_cm3,substrate_index,-0.3333722238391765
10.0,log10_carrier_cm3,log10_carrier_cm3,1.0
10.0,log10_carrier_cm3,log10_collision_s-1,-0.07866377270234386
10.0,log10_collision_s-1,thickness_um,0.14700559412177536
10.0,log10_collision_s-1,substrate_index,0.6927269462299214
10.0,log10_collision_s-1,log10_carrier_cm3,-0.0786637727023403
10.0,log10_collision_s-1,log10_collision_s-1,1.0000000000000002
15.0,thickness_um,thickness_um,1.0
15.0,thickness_um,substrate_index,-0.009595253994885146
15.0,thickness_um,log10_carrier_cm3,-0.04229621849668641
15.0,thickness_um,log10_collision_s-1,0.10077683537858827
15.0,substrate_index,thickness_um,-0.009595253994885146
15.0,substrate_index,substrate_index,1.0
15.0,substrate_index,log10_carrier_cm3,-0.9986532772682267
15.0,substrate_index,log10_collision_s-1,0.9938962753921671
15.0,log10_carrier_cm3,thickness_um,-0.042296218496686744
15.0,log10_carrier_cm3,substrate_index,-0.9986532772681912
15.0,log10_carrier_cm3,log10_carrier_cm3,1.0
15.0,log10_carrier_cm3,log10_collision_s-1,-0.998281205270352
15.0,log10_collision_s-1,thickness_um,0.10077683537858821
15.0,log10_collision_s-1,substrate_index,0.99389627539217
15.0,log10_collision_s-1,log10_carrier_cm3,-0.99828120527039
15.0,log10_collision_s-1,log10_collision_s-1,1.0
